series_name,candidate_autohome_series_id,expected_source_name,evidence_url,evidence_source,note,source_series_name,name_relation,name_similarity,api_review_total,api_page_count,existing_id_assignments,target_in_zero_coverage_gap,decision,decision_reason,checked_at
EVOS,6143,EVOS,https://k.autohome.com.cn/6143/,official_search_result,Official Autohome result names the target series,EVOS,exact,1.0,199,20,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T22:14:03
PATHFINDER探陆,7396,探陆,https://www.autohome.com.cn/7396/,official_search_result,Target roster retains the English prefix while Autohome uses the Chinese short name,探陆,contains,0.2857,187,19,,True,manual_review,official endpoint matches the documented alias/renamed display name,2026-08-23T22:14:03
iCAR 03,7069,iCAR 03,https://car.autohome.com.cn/diandongche/series-7069-0-0-0-0-0-0-1.html,official_search_result,Official Autohome result names the target series,iCAR 03,exact,1.0,209,21,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T22:14:03
五菱宏光S,2139,五菱宏光S,https://k.autohome.com.cn/2139/,candidate_collision_check,Known risk: Autohome may merge this into the 五菱宏光 series,五菱宏光,contains,0.8889,7541,200,五菱宏光,True,manual_review,candidate ID already assigned to: 五菱宏光,2026-08-23T22:14:03
五菱星光,7349,五菱星光,https://car.autohome.com.cn/price/series-7349.html,official_search_result,Official Autohome result names the target series,五菱星光,exact,1.0,409,41,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T22:14:03
亚洲狮,5960,亚洲狮,https://www.autohome.com.cn/5960/,official_search_result,Official Autohome result names the target series,亚洲狮,exact,1.0,2283,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T22:14:03
传祺E8新能源,7329,传祺E8 PHEV,https://www.autohome.com.cn/7329/,official_search_result,Autohome renamed the series display from 传祺E8新能源 to 传祺E8 PHEV,传祺E8 PHEV,different,0.5333,280,28,,True,manual_review,official endpoint matches the documented alias/renamed display name,2026-08-23T22:14:03
别克E4,7122,别克E4,https://www.autohome.com.cn/7122/,official_search_result,Official Autohome result names the target series,别克E4,exact,1.0,59,6,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T22:14:03
北京EU5,5058,北京EU5,https://www.autohome.com.cn/5058/,official_search_result,Official Autohome result names the target series,北京EU5,exact,1.0,195,20,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T22:14:03
宋PLUS新能源,5761,宋PLUS新能源,https://www.autohome.com.cn/5761/,official_search_result,Official Autohome result names the target series,宋PLUS新能源,exact,1.0,5062,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T22:14:03
唐新能源,3430,唐新能源,https://www.autohome.com.cn/3430/,official_search_result,Official Autohome result names the target series,唐新能源,exact,1.0,14259,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T22:14:04
宏光MINIEV,5714,宏光MINIEV,https://www.autohome.com.cn/5714/,official_search_result,Official Autohome result names the target series,宏光MINIEV,exact,1.0,1556,156,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T22:14:04
五菱佳辰,6650,五菱佳辰,https://car.autohome.com.cn/price/series-6650.html,official_search_result,Official Autohome result names the target series,五菱佳辰,exact,1.0,145,15,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:03
五菱征程,6039,五菱征程,https://www.autohome.com.cn/6039/,official_search_result,Official Autohome result names the target series,五菱征程,exact,1.0,48,5,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:03
五菱星云,7272,五菱星云,https://www.autohome.com.cn/7272/,official_search_result,Official Autohome result names the target series,五菱星云,exact,1.0,40,4,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:03
五菱星驰,6777,五菱星驰,https://www.autohome.com.cn/6777/,official_search_result,Official Autohome result names the target series,五菱星驰,exact,1.0,69,7,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:03
传祺GA8,3782,传祺GA8,https://www.autohome.com.cn/3782/,official_search_result,Official Autohome result names the target series,传祺GA8,exact,1.0,265,27,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:04
凌尚,5963,凌尚,https://www.autohome.com.cn/5963/,official_search_result,Official Autohome result names the target series,凌尚,exact,1.0,202,21,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:04
凌放HARRIER,6077,凌放HARRIER,https://www.autohome.com.cn/6077/,official_search_result,Official Autohome result names the target series,凌放HARRIER,exact,1.0,2032,200,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:04
凯翼拾月,6845,凯翼拾月,https://www.autohome.com.cn/6845/,official_search_result,Official Autohome result names the target series,凯翼拾月,exact,1.0,24,3,,True,verified,official endpoint ID and target name agree exactly,2026-08-23T23:05:04
