series_name,series_id,source_series_id,brand,in_model_cohort,verification_priority,risk_score,verification_reason
东南DX8 PLUS,28964,sg28964,东南,False,high,40,entire repaired test window is zero; high-volume history followed by a zero gap
博骏,21666,sg21666,野马汽车,False,high,40,entire repaired test window is zero; high-volume history followed by a zero gap
名爵HS,23173,sg23173,MG名爵,False,high,40,entire repaired test window is zero; high-volume history followed by a zero gap
启悦,10846,sg10846,铃木,False,high,40,entire repaired test window is zero; high-volume history followed by a zero gap
威马W6,24725,sg24725,威马汽车,False,high,40,entire repaired test window is zero; high-volume history followed by a zero gap
宝骏530,22283,sg22283,宝骏,False,high,40,entire repaired test window is zero; high-volume history followed by a zero gap
捷途山海L9,30133,sg30133,捷途,False,high,65,previous high-risk review unresolved; entire repaired test window is zero; positive in 2025 then at least 6 trailing zeros
极越01,28842,sg28842,极越,False,high,70,previous high-risk review unresolved; entire repaired test window is zero; high-volume history followed by a zero gap
桑塔纳,100,sg100,大众,False,high,40,entire repaired test window is zero; high-volume history followed by a zero gap
荣威RX5 eMAX,25051,sg25051,荣威,False,high,40,entire repaired test window is zero; high-volume history followed by a zero gap
长安CS55PLUS,25604,sg25604,长安,False,high,37,internal zero run=6 months; high-volume history followed by a zero gap
长安欧尚Z6 智电iDD,28760,sg28760,长安欧尚,False,high,65,previous high-risk review unresolved; entire repaired test window is zero; positive in 2025 then at least 6 trailing zeros
