role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,note
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,已由同源修复完成；用于校准替代站逐月口径
calibration,Model 3,Model 3,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_985.html,mapped,已由同源修复完成；用于校准替代站逐月口径
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,空格是安全排版差异；厂商与连续月份仍需一致
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,精确车系名与奇瑞汽车身份
target,长安欧尚Z6 智电iDD,长安欧尚Z6 智电iDD,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_3067.html,mapped,精确车系名与长安欧尚身份
target,威马W6,威马W6,威马,车主手册,https://www.icauto.com.cn/rank/car_1845.html,mapped,精确车系名与威马汽车身份
target,宝骏530,宝骏530,宝骏,车主手册,https://www.icauto.com.cn/rank/car_101.html,mapped,精确车系名与上汽通用五菱身份
target,极越01,极越01,极越,车主手册,https://www.icauto.com.cn/rank/car_3078.html,mapped,精确车系名与极越身份
target,名爵HS,名爵HS,MG名爵,车主手册,https://www.icauto.com.cn/rank/car_58.html,mapped,精确车系名与上汽集团身份
target,长安启源Q05经典,长安启源Q05经典,长安启源,车主手册,https://www.icauto.com.cn/rank/car_3462.html,mapped,精确车系名与长安启源身份；替代站逐月表同样止于2025-12
target,奥迪Q5 e-tron,奥迪Q5 e-tron,奥迪,车主手册,https://www.icauto.com.cn/rank/car_2777.html,mapped,精确车系名与上汽奥迪身份；替代站逐月表同样止于2025-12
target,电动MINI COOPER,电动MINI COOPER,MINI,车主手册,https://www.icauto.com.cn/rank/car_3583.html,mapped,精确车系名与光束汽车身份；重叠36个月逐月一致
target,电动MINI ACEMAN,电动MINI ACEMAN,MINI,车主手册,https://www.icauto.com.cn/rank/car_3655.html,mapped,精确车系名与光束汽车身份；重叠36个月逐月一致
target,海马8S,海马8S,海马郑州,车主手册,https://www.icauto.com.cn/rank/car_576.html,mapped,精确车系名与海马郑州身份；重叠36个月逐月一致
target,奔奔E-Star,奔奔E-Star,长安欧尚,车主手册,https://www.icauto.com.cn/rank/car_1429.html,mapped,精确车系名与长安欧尚身份；重叠36个月逐月一致
target,五菱宏光,五菱宏光,五菱,车主手册,https://www.icauto.com.cn/rank/car_2868.html,mapped,精确车系名与上汽通用五菱身份；不合并五菱宏光S或宏光MINIEV
target,东南DX8 PLUS,东南DX8 PLUS,东南,待映射,,identity_conflict,替代站将其标为未上市且另列东南DX8/DX8S；不能按名称直接合并
target,博骏,博骏,野马汽车,待映射,,needs_mapping,需取得可逐月下载的独立车系页
target,启悦,启悦,铃木,待映射,,needs_mapping,需取得可逐月下载的独立车系页
target,桑塔纳,桑塔纳,大众,待映射,,needs_mapping,已找到历史页但当前替代采集器尚未映射该站ID
target,荣威RX5 eMAX,荣威RX5 eMAX,荣威,待映射,,needs_mapping,需取得可逐月下载的独立车系页
