series_name,resolution_status,reason,collection_action,model_feature_policy,recorded_at
五菱宏光S,id_conflict,Autohome ID 2139 is already assigned to 五菱宏光 and the source does not expose a unique 五菱宏光S corpus,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
帕萨特新能源,not_found,Official suggestion API returned no same-name series candidate,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
摩卡,alias_ambiguous,Official suggestion API returned 魏牌 摩卡新能源 rather than the target name,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
新帝豪,not_found,Official suggestion API returned no same-name series candidate,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
小鹏MONA M03,no_pre_cutoff_review,Verified source had no review at or before 2025-12-31 after the bounded eight-page historical search,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
岚图梦想家,no_pre_cutoff_review,Verified source had no review at or before 2025-12-31 after the bounded eight-page historical search,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
星海T5,no_source_reviews,Verified Autohome review endpoint reports zero total reviews,stop_collection,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
星瑞L,alias_ambiguous,Official suggestion API returned 星瑞L PLUS rather than the target name,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
沃尔沃S90新能源,alias_ambiguous,Official suggestion API returned 沃尔沃S90新能源(进口) rather than the target name,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
海豹06DM-i,alias_ambiguous,Official suggestion API returned 海豹06 DM-i旅行版 rather than the target name,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
瑞风RF8新能源,not_found,Official suggestion API returned no same-name series candidate,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
星越L 智擎,no_source_reviews,Verified Autohome review endpoint reports zero total reviews,stop_collection,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
沃尔沃ES90,no_pre_cutoff_review,Verified source's only review was published after 2025-12-31 following the bounded historical search,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
海马INJOY,no_source_reviews,Verified Autohome review endpoint reports zero total reviews,stop_collection,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
轩度EV,no_source_reviews,Verified Autohome review endpoint reports zero total reviews,stop_collection,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
秦L,no_pre_cutoff_review,Verified source had no review at or before 2025-12-31 after the bounded eight-page historical search,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
腾势D9,no_pre_cutoff_review,Verified source had no review at or before 2025-12-31 after the bounded eight-page historical search,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
红旗国耀,not_found,Official suggestion API returned no same-name series candidate,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
起亚K5凯酷,not_found,Official suggestion API returned no same-name series candidate,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
途胜L,not_found,Official suggestion API returned no same-name series candidate,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
途观L新能源,not_found,Official suggestion API returned no same-name series candidate,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
锐界L,not_found,Official suggestion API returned no same-name series candidate,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
领克07,alias_ambiguous,Official suggestion API returned 领克07 EM-P rather than the target name,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
骐达,alias_ambiguous,Official suggestion API returned 骐达TIIDA rather than the target name,stop_search,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
爱跑,no_source_reviews,Verified Autohome review endpoint reports zero total reviews,stop_collection,Keep own-series sentiment as missing; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
凯威德,no_pre_cutoff_review,Verified source's complete three-review corpus contains no review at or before 2025-12-31,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
奥迪A6L e-tron,no_pre_cutoff_review,Verified source's complete 21-review corpus contains no review at or before 2025-12-31,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
海豹07EV,no_pre_cutoff_review,Verified source had no review at or before 2025-12-31 after the bounded eight-page historical search,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
铂智7,no_pre_cutoff_review,Verified source had no review at or before 2025-12-31 after the bounded eight-page historical search,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
银河V900,no_pre_cutoff_review,Verified source's complete five-review corpus contains no review at or before 2025-12-31,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
银河星耀7,no_pre_cutoff_review,Verified source had no review at or before 2025-12-31 after the bounded eight-page historical search,stop_backfill,Keep own-series sentiment as missing before its first available review; add availability flag and separately named lagged brand/category aggregate features,2026-08-24
领克10,detail_fetch_unavailable,Verified source exposed 15 pre-2026-01 list records but repeated full-detail fetches failed with source TLS EOF,stop_detail_retry,Keep own-series text sentiment as missing until a full-detail source is available; retain raw list metadata only for audit,2026-08-24
