series_name,event_date,event_type,event_subtype,event_title,event_end_date,price_change_wan,promotion_amount_wan,source_name,source_url,published_at,known_at,verification_status,notes
Model Y,2024-01-12,price_cut,official_list_price,Model Y中国起售价降至25.89万元,,-0.75,,IT之家,https://www.ithome.com/0/744/788.htm,2024-01-12T09:07:20+08:00,2024-01-12T09:07:20+08:00,verified_secondary,报道援引特斯拉中国价格页面；降幅为0.75万元
Model Y,2024-04-21,price_cut,all_variants,Model Y等中国在售车系统一降价1.4万元,,-1.40,,中国证券报,https://epaper.cs.com.cn/zgzqb/images/2024-04/22/A05/zqDB1222.pdf,2024-04-22T00:00:00+08:00,2024-04-22T00:00:00+08:00,verified_secondary,事件发生日与报道公开日分开保存；回测从公开日开始可用
Model Y,2024-11-25,promotion,final_payment_discount,Model Y限时交付尾款减免1万元,2024-12-31,,1.00,第一财经,https://www.yicai.com/news/102372190.html,2024-11-25T13:28:57+08:00,2024-11-25T13:28:57+08:00,verified_secondary,可叠加五年零息；金额字段仅记录直接尾款减免
Model Y,2025-01-10,facelift,major_refresh,焕新Model Y在中国发布并开启预售,,,,财联社,https://www.cls.cn/detail/1914999,2025-01-10T17:20:00+08:00,2025-01-10T17:20:00+08:00,verified_secondary,后轮驱动和长续航首发版定价26.35万与30.35万元；预计3月交付
海鸥,2024-03-06,price_cut,honor_edition,海鸥荣耀版上市且起售价降至6.98万元,,-0.40,,IT之家,https://www.ithome.com/0/753/918.htm,2024-03-06T00:00:00+08:00,2024-03-06T00:00:00+08:00,verified_secondary,同源报道列明此前版本起售价7.38万元；下降0.40万元
宏光MINIEV,2024-08-20,facelift,third_generation_youth_215km,第三代宏光MINIEV 215km青春版上市,,,,上汽通用五菱,https://lu.sgmw.com.cn/portal/details.html?id=47336,2024-08-20T17:01:01+08:00,2024-08-20T17:01:01+08:00,verified_primary,官方指导价4.08万元并含上市权益
宏光MINIEV,2025-02-22,launch,four_door_variant,宏光MINIEV四门版上市,,,,通用汽车中国,https://www.gm.com.cn/zh/home/newsroom.detail.html/Pages/news/cn/zh/2025/feb/0222-wuling.html,2025-02-22T00:00:00+08:00,2025-02-22T00:00:00+08:00,verified_primary,官方指导价4.48万至5.08万元；上市权益未折算为无条件现金优惠
秦PLUS,2024-02-19,price_cut,honor_edition,秦PLUS DM-i荣耀版上市且起售价降至7.98万元,,-2.00,,每日经济新闻,https://www.nbd.com.cn/articles/2024-02-19/3248176.html,2024-02-19T23:06:44+08:00,2024-02-19T23:06:44+08:00,verified_secondary,同源报道列出本次7.98万元与上代冠军版9.98万元起售价
宋PLUS新能源,2023-06-19,facelift,champion_edition,宋PLUS冠军版上市,,,,新华网,https://www.xinhuanet.com/auto/20230620/faf3261ae5d54d64837ef4cdab136aae/c.html,2023-06-20T00:00:00+08:00,2023-06-20T00:00:00+08:00,verified_secondary,DM-i与EV冠军版同步更新；不同动力版本不填单一价格变化
宋PLUS新能源,2024-02-29,price_cut,honor_edition,宋PLUS荣耀版上市并降低购车门槛,,,,新华网,https://www1.xinhuanet.com/auto/20240301/3fdf7718a7af4a81a28637b5571baf26/c.html,2024-03-01T16:53:24+08:00,2024-03-01T16:53:24+08:00,verified_secondary,DM-i起售价12.98万元、EV起售价14.98万元；因款型变化不填单一降幅
宋PLUS新能源,2024-02-29,promotion,launch_trade_in_subsidy,宋PLUS荣耀版上市置换补贴,2024-03-31,,0.40,新华网,https://www1.xinhuanet.com/auto/20240301/3fdf7718a7af4a81a28637b5571baf26/c.html,2024-03-01T16:53:24+08:00,2024-03-01T16:53:24+08:00,verified_secondary,置换补贴为有条件权益；与车型上市事件分成独立记录
Model Y,2025-04-22,promotion,five_year_zero_interest,焕新Model Y限时五年零息,2025-06-30,,,新浪科技,https://finance.sina.com.cn/tech/shenji/2025-04-22/doc-inetyyfe1116244.shtml,2025-04-22T08:00:00+08:00,2025-04-22T08:00:00+08:00,verified_secondary,金融权益取决于贷款资质；不折算为无条件现金优惠
Model Y,2025-07-01,promotion,july_finance_and_paint_credit,Model Y延续五年零息并提供引荐车漆礼金,2025-07-31,,,每日经济新闻,https://www.nbd.com.cn/articles/2025-07-02/3930479.html,2025-07-02T00:00:00+08:00,2025-07-02T00:00:00+08:00,verified_secondary,报道确认7月政策；8000元为符合引荐条件的车漆选装礼金不作为现金优惠入模
海鸥,2025-05-23,promotion,618_limited_price,海鸥智驾版参加海洋网618限时一口价,2025-06-30,,,时代周报,https://static.time-weekly.com/time-weekly/dfe67a326ca5188b983597c1148ad140/20250623/afefcd25752042b7b82528fc2ffef23d.pdf,2025-06-24T00:00:00+08:00,2025-06-24T00:00:00+08:00,verified_secondary,报道回溯5月23日品牌活动；采用较晚的报道公开日作为保守known_at
秦PLUS,2025-05-23,promotion,618_cash_subsidy,第二代秦PLUS DM-i智驾版618限时补贴,2025-06-30,,1.00,凤凰网汽车,https://auto.ifeng.com/c/8jbIQSMToNo,2025-05-23T20:37:27+08:00,2025-05-23T20:37:27+08:00,verified_secondary,仅记录1万元现金补贴；最高6000元置换补贴因有条件未计入金额
宋PLUS新能源,2025-05-23,promotion,618_limited_price,宋PLUS智驾版参加海洋网618限时一口价,2025-06-30,,,时代周报,https://static.time-weekly.com/time-weekly/dfe67a326ca5188b983597c1148ad140/20250623/afefcd25752042b7b82528fc2ffef23d.pdf,2025-06-24T00:00:00+08:00,2025-06-24T00:00:00+08:00,verified_secondary,报道回溯5月23日品牌活动；采用较晚的报道公开日作为保守known_at
