identity,series_name,publish_time,corpus_source,content,qa_action,override_labels,qa_reason,reviewer,reviewed_at
dongchedi::7649687673392615448,AION RT,2026-06-10 16:55:00,historical_archive,总的来说还是可以吧，都在在预期范围内。没有想象中的那么差。。,accept_all_unmentioned,{},Generic overall assessment without a named product aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7671308337161441305,MG4,2026-08-07 23:14:43,dongchedi_incremental,"【购车经历】
不是很愉快，客户经理服务态度极差，非常不满意 投诉达10天以上",accept_all_unmentioned,{},Customer-manager service complaint only.,codex_sol_manual_qa,2026-08-24
dongchedi::6862969208519528461,别克GL8,2020-08-20 15:45:00,historical_archive,别克GL8是目前市场上最热门的商务MPV，其设计非常符合国内市场的需求，品牌也符合商务定位，其缺点是安全性较差，在中保研的碰撞测试中，25%小面积重叠碰撞测试出现A柱断裂的情况，方向盘位移，获得Poor差评，安全性也是GL8急需加强的地方。,accept_all_unmentioned,{},Crash safety is explicit but is outside the fixed ten-aspect definitions; it is not forced into control or configuration.,codex_sol_manual_qa,2026-08-24
dongchedi::7656862118448222232,奔驰C级,2026-06-30 01:00:00,historical_archive,一直在外出差，还没亲自开过。等回家后补充信息吧，目前看媳妇挺满意。,accept_all_unmentioned,{},Reviewer has not driven the car; only generic second-hand satisfaction is stated.,codex_sol_manual_qa,2026-08-24
dongchedi::7659653420369842201,威兰达,2026-07-07 13:31:00,historical_archive,还在摸索，目前没发现纠结的点，不过确实是我的心头好，就这样吧,accept_all_unmentioned,{},Generic affection without a named product aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7650126612616204312,宝来,2026-06-23 13:15:00,historical_archive,好车，对于这个车各个方面都比较满意，这个车真的是辆比较不错的车型。,accept_all_unmentioned,{},Generic satisfaction without a named aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7650805082312691737,小米SU7,2026-06-13 17:11:00,historical_archive,小米汽车啥都好，就是去买车的时候水都没有给我拿一瓶喝哈哈哈哈,accept_all_unmentioned,{},"Dealer hospitality complaint, not a vehicle-product aspect.",codex_sol_manual_qa,2026-08-24
dongchedi::7658144702440411161,小米SU7,2026-07-03 11:52:00,historical_archive,用车体验非常良好。完全没有后悔的可能性，只要体验过，就离不开了,accept_all_unmentioned,{},Generic positive ownership experience without a named aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7654554428120240152,探岳X,2026-06-23 19:40:00,historical_archive,这是我的第一辆爱车，它陪伴我5年了、非常喜欢，也带我去了好几个城市。,accept_all_unmentioned,{},Generic long-term affection without a named aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7649673418782035993,揽巡,2026-06-10 15:59:00,historical_archive,"【购车经历】
购车经历是很好的，懂车帝官方直营店也全程跟踪和帮我跟进流程，很满意的经历",accept_all_unmentioned,{},Purchase-process service only.,codex_sol_manual_qa,2026-08-24
dongchedi::7658562299443040281,昂科威,2026-07-04 15:00:00,historical_archive,第一辆车是哈弗H2s，9年了，有点肉，这是第二辆车，也没开过什么别的车，只能说个人比较喜欢,accept_all_unmentioned,{},Target-series preference is generic; the power complaint describes the previous car.,codex_sol_manual_qa,2026-08-24
dongchedi::7651888487817285656,朗逸,2026-06-16 15:15:00,historical_archive,很不错提车一个月了车子很好，就是销售一点都不负责任，再也不会推荐朋友去他家买车了,accept_all_unmentioned,{},Vehicle praise is generic and the explicit complaint concerns the salesperson.,codex_sol_manual_qa,2026-08-24
dongchedi::7659592429716115481,比亚迪e7,2026-07-07 09:41:00,historical_archive,基本上还行吧，因为我才买回家来，好好还没开过呢，等把证办好了才能跑的,accept_all_unmentioned,{},Reviewer has not driven the car and states no product aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7651673407582392345,海狮06EV,2026-06-16 01:23:00,historical_archive,从电车换到油车，感官爽度提升很大。但是有一说一，海狮06只是个水桶车，各方面都不怎么突出,accept_all_unmentioned,{},Generic comparison and undifferentiated 'not outstanding' statement without a fixed aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7653992419213463577,海狮06EV,2026-06-22 07:19:00,historical_archive,还可以，刚开始开，还在试用期间还没发现问题，正在进一步了解，进一步观察。,accept_all_unmentioned,{},Generic early-use assessment without a named aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7651943836914028569,深蓝L06,2026-06-16 18:50:00,historical_archive,今天提车后就开了七十公里 体验还行 顺义提车工作人员态度挺好 就是太远了懒得下楼拍了拍一下自带的照片,accept_all_unmentioned,{},Generic experience and staff service only.,codex_sol_manual_qa,2026-08-24
dongchedi::7638618574998753305,荣威i5,2026-05-31 22:52:00,historical_archive,我的第一台车 在我心里就是最好的 1万公里了没有把我扔到路上过,accept_all_unmentioned,{},Generic reliability praise; reliability is not one of the fixed ten aspects.,codex_sol_manual_qa,2026-08-24
dongchedi::7654418708017713176,蒙迪欧,2026-06-23 10:55:00,historical_archive,目前 总体还行 毕竟也是昨天提的车 也没怎么跑 真要说具体的 得开一段时间才知道,accept_all_unmentioned,{},Reviewer has just collected the car and states no concrete aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7647092485499408408,蔚来ET5T,2026-06-03 17:12:00,historical_archive,蔚来的销售是没有培训吗，给打电话询问价格，后来就买了别的，回访电话问我什么有时间过来试驾，我说已经买了不好意思，然后问我多少钱买的，我说二十左右，最后来了句这个钱你连我们的租电版本的展车都买不起，？？？，你家销售要是说价格不怎么合适我都认了，来了句买不起？真牛，培训连个委婉用词都不会用？不买你家车就该挨嘲讽吗？,accept_all_unmentioned,{},Salesperson conduct and price conversation only; no vehicle-product attitude is expressed.,codex_sol_manual_qa,2026-08-24
dongchedi::7648449969627598873,迈腾,2026-06-07 08:52:00,historical_archive,我喜欢迈腾，因为迈出家门，腾出位置，哈哈哈当然开玩笑的。因为就像喜欢一个人，即使分开了，再看一眼依然会爱上的。,accept_all_unmentioned,{},Generic affection without a named aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7654954250438447166,迈腾,2026-06-24 21:32:00,historical_archive,油车还行。就是不知道以后怎样。毕竟新车都还可以的。就看十年以后怎样了。,accept_all_unmentioned,{},Generic new-car and longevity uncertainty without a fixed aspect claim.,codex_sol_manual_qa,2026-08-24
dongchedi::7649996364025171992,速腾,2026-06-11 12:57:00,historical_archive,总体还是不错的，直接奔大众去的，都没看别的品牌，相信大众这品牌吧。,accept_all_unmentioned,{},Brand trust and generic assessment without a named aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7651850684207206424,长安X5 PLUS,2026-06-16 12:48:00,historical_archive,挺好的，没什么问题，只是离家远，来回100公里，不得不换个电车,accept_all_unmentioned,{},"Generic assessment and travel-distance context, not a target-series aspect claim.",codex_sol_manual_qa,2026-08-24
dongchedi::7656754410084634686,领克10,2026-06-29 17:57:00,historical_archive,"【购车经历】
非常好，这家店的服务态度不错，
【购车经历】
销售态度也很好",accept_all_unmentioned,{},Dealer and salesperson service only.,codex_sol_manual_qa,2026-08-24
dongchedi::7660423188483936280,领克10,2026-07-09 15:14:00,historical_archive,非常不错的购车，领克03置换的，再次购买，还是不错的，后面等我开开感受下的,accept_all_unmentioned,{},Purchase and replacement context; no target product aspect is evaluated.,codex_sol_manual_qa,2026-08-24
dongchedi::7657172948565905432,高尔夫,2026-06-30 21:01:00,historical_archive,心心念念的高尔夫，18年就看了，一直在等1.5T，19年买了别的车，2026年6月18终于又等到你，送给自己37岁的生日礼物🎁,accept_all_unmentioned,{},Purchase history and affection without a named aspect.,codex_sol_manual_qa,2026-08-24
dongchedi::7667170964358058046,MG4,2026-07-27 19:39:10,dongchedi_incremental,这个车子一开始路上看到过，后来身边的朋友也买了，我就试了试她这个车子，发现还真挺好，我就让朋友带我到4s店看看其他的颜色和配置了，当天就下单了。不过我选的颜色和内饰店里没现车，就等了大概半个月，但也是顺利提车！,override_false_negative,"{""appearance"": 0, ""configuration"": 0, ""interior"": 0}","Explicitly mentions selecting exterior color, interior, and configuration without aspect-specific polarity.",codex_sol_manual_qa,2026-08-24
dongchedi::7668691733886029848,MG4,2026-07-31 22:00:32,dongchedi_incremental,总体还可以，中规中矩的小车，售后确实非常非常一般！就是大家尽量选个好清洗的颜色吧,override_false_negative,"{""appearance"": 0}",Explicit neutral advice about choosing an easy-to-clean exterior color.,codex_sol_manual_qa,2026-08-24
